Video Link,Data split,Gender Expression,Label,Notes if any
https://www.tiktok.com/@alyssataylorharper/video/7156474662313151750,Train,Feminine,Educative,
https://www.tiktok.com/@alyssataylorharper/video/7162428237715344645,Train,Feminine,Educative,
https://www.tiktok.com/@alyssataylorharper/video/7164598634120482054,Train,Feminine,Educative,
https://www.tiktok.com/@alyssataylorharper/video/7165737250360216838,Train,Feminine,Educative,
https://www.tiktok.com/@alyssataylorharper/video/7166511072571051269,Train,Feminine,Educative,
https://www.tiktok.com/@dr.anika.ackerman/video/7154091597154602282,Train,Feminine,Educative,
https://www.tiktok.com/@dr.anika.ackerman/video/7156641740684905771,Train,Feminine,Educative,
https://www.tiktok.com/@dr.anika.ackerman/video/7158203003332513067,Train,Feminine,Educative,
https://www.tiktok.com/@dr.anika.ackerman/video/7161120342847655210,Train,Feminine,Educative,
https://www.tiktok.com/@drmarthalee/video/7095902916959145217,Train,Feminine,Educative,
https://www.tiktok.com/@drmarthalee/video/7145827051692461314,Train,Feminine,Educative,
https://www.tiktok.com/@drmarthalee/video/7147485393531751682,Train,Feminine,Educative,
https://www.tiktok.com/@drmarthalee/video/7156374460516306177,Train,Feminine,Educative,
https://www.tiktok.com/@drmarthalee/video/7165470881827851521,Train,Feminine,Educative,
https://www.tiktok.com/@femmepretender/video/6973034060373347589,Train,Feminine,Educative,
https://www.tiktok.com/@femmepretender/video/7112192557983059243,Train,Feminine,Educative,
https://www.tiktok.com/@itskatiehaan/video/6953249139765284101,Train,Feminine,Educative,
https://www.tiktok.com/@itskatiehaan/video/6955842274055965957,Train,Feminine,Educative,
https://www.tiktok.com/@itskatiehaan/video/6955853690838273286,Train,Feminine,Educative,
https://www.tiktok.com/@itskatiehaan/video/6987078829219007749,Train,Feminine,Educative,
https://www.tiktok.com/@itskatiehaan/video/6997826040185769221,Train,Feminine,Educative,
https://www.tiktok.com/@mylorals/video/7065414328748477742,Train,Feminine,Educative,
https://www.tiktok.com/@mylorals/video/7083235584218500398,Train,Feminine,Educative,
https://www.tiktok.com/@parebecca/video/7127186028548345134,Train,Feminine,Educative,
https://www.tiktok.com/@parebecca/video/7159697650852384043,Train,Feminine,Educative,
https://www.tiktok.com/@prismfl/video/7110241852367949099,Train,Feminine,Educative,
https://www.tiktok.com/@prismfl/video/7114808375531146542,Train,Feminine,Educative,
https://www.tiktok.com/@prismfl/video/7115136538048040234,Train,Feminine,Educative,
https://www.tiktok.com/@selfmagazine/video/7011916188091485446,Train,Feminine,Educative,
https://www.tiktok.com/@selfmagazine/video/7012363787919527173,Train,Feminine,Educative,
https://www.tiktok.com/@selfmagazine/video/7012386255631699206,Train,Feminine,Educative,
https://www.tiktok.com/@selfmagazine/video/7029736448525978886,Train,Feminine,Educative,
https://www.tiktok.com/@selfmagazine/video/7036414436902587654,Train,Feminine,Educative,
https://www.tiktok.com/@sexedtok/video/7159191655302663467,Train,Feminine,Educative,
https://www.tiktok.com/@sexedtok/video/7165873069259689262,Train,Feminine,Educative,
https://www.tiktok.com/@sexologist_shaunaharris/video/7166803395741879594,Train,Feminine,Educative,
https://www.tiktok.com/@sexualitywithannemarie/video/7133012319923195141,Train,Feminine,Educative,
https://www.tiktok.com/@sexualitywithannemarie/video/7135620057886952710,Train,Feminine,Educative,
https://www.tiktok.com/@sexualitywithannemarie/video/7136237967839956229,Train,Feminine,Educative,
