uuid	file	sentence	tok_sentence	paragraph	trimmed_sent	title	source	year
19e4b35f-fc0e-11ed-88fc-93f4be02dfa8	neigbor97.txt	These are the underlying social, institutional, and economic factors that generate feedbacks determining the distribution of proximal factors and the observed heterogeneity in resilience.	These are the underlying social , institutional , and economic factors that generate feedbacks determining the distribution of proximal factors and the observed heterogeneity in resilience .	"The second of these resilience assessment components identifies contextual drivers of resilience. These are the underlying social, institutional, and economic factors that generate feedbacks determining the distribution of proximal factors and the observed heterogeneity in resilience. The vulnerability literature emphasizes the importance of contextual factors in determining the differential impacts of natural hazards, most notably referred to as ""root causes"" within the pressure and release model (Wisner et al. 2004). Within a resilience framing, contextual drivers of resilience interact with proximal factors, as well as contemporary characteristics of the farming system generating feedbacks that create path-dependency in the trajectory of farm resilience. This is exemplified by Enfors (2013) and Enfors and Gordon (2008) who use evidence from drought prone catchments in Tanzania to show that institutional change, drought, and population growth reinforce a cycle of ecosystem degradation, low crop yields, and poverty. They argue that destabilization of these feedbacks is necessary for alternative development trajectories to take place. Awareness of ultimate contextual, social, and institutional factors is important for realizing sustained impact from social protection interventions; this is encapsulated in the concept of transformative social protection (Sabates-Wheeler and Devereux 2011). Bene et al. (2012) draws upon this to argue that awareness of these same factors are important for building resilience to shocks (among certain groups). Inclusive and effective institutions, social capital, and equity have been reported as key characteristics of climate resilient systems (Bahadur et al. 2013)."	These are the underlying social, institutional, and economic factors that generate feedbacks determining the distribution of proximal factors and the observed heterogeneity in resilience.	Resilience to hazards: rice farmers in the Mahanadi Delta, India	John M. Duncan, Emma L. Tompkins, Jadunandan Dash, Basundhara Tripathy	2017
19e4b360-fc0e-11ed-88fc-93f4be02dfa8	neigbor187.txt	Individual scientists from IRRI and other institutions organize and conduct research driven by a particular theme or set of research tools.	Individual scientists from IRRI and other institutions organize and conduct research driven by a particular theme or set of research tools .	Individual scientists from IRRI and other institutions organize and conduct research driven by a particular theme or set of research tools. Two networks are currently convened by IRRI: * Asian Rice Biotechnology Network (ARBN), established at IRRI in 1993 to provide a vehicle for collaborative research in rice biotechnology with universities and rice breeding institutes of the Asian countries. ARBN, through its training and collaborative research activities, is providing a unique mechanism for national research institutions to gain access to relevant knowledge and biotechnology tools. The ultimate goal is to assist them in applying biotechnology to meet their own national needs in rice varietal improvement. * Hybrid Rice Network, which aims to speed up development and use of hybrid rice technology in Asia. Current activities are in Bangladesh, India, Indonesia, the Philippines, Sri Lanka, and Vietnam, in collaboration with FAO, the Asia Pacific Seed Association, and China. The network has contributed significantly to the development and promotion of hybrid rice technology.	Individual scientists from IRRI and other institutions organize and conduct research driven by a particular theme or set of research tools.	Rice Almanac: Source Book for the Most Important Economic Activity on Earth	J.L. Maclean, D.C. Dawe, B. Hardy, and G.P. Hettel	2002
19e4b361-fc0e-11ed-88fc-93f4be02dfa8	neigbor196.txt	Other crops such as tomatoes, cacao, and chili peppers were not by themselves especially rich in calories, but complemented existing foods by increasing vitamin intake and improving taste.	Other crops such as tomatoes , cacao , and chili peppers were not by themselves especially rich in calories , but complemented existing foods by increasing vitamin intake and improving taste .	"The transfer of foods between the Old and New Worlds during the Columbian Exchange had important consequences for world history. Historian Alfred Crosby (1989, p. 666) describes the significance of the transfer of food crops between the continents, writing: ""The coming together of the continents was a prerequisite for the population explosion of the past two centuries, and certainly played an important role in the Industrial Revolution. The transfer across the ocean of the staple food crops of the Old and New Worlds made possible the former."" There are two channels through which the Columbian Exchange expanded the global supply of agricultural goods. First, it introduced previously unknown species to the Old World. Many of these species--like potatoes, sweet potatoes, maize, and cassava (also known as manioc)--resulted in caloric and nutritional improvements over previously existing staples. Other crops such as tomatoes, cacao, and chili peppers were not by themselves especially rich in calories, but complemented existing foods by increasing vitamin intake and improving taste. In many instances, the New World foods had an important effect on the evolution of local cuisines. Chili peppers gave rise to spicy curries in India, to paprika in Hungary, and to spicy kimchee in Korea. Tomatoes significantly altered the cuisine of Italy and other Mediterranean countries. Second, the discovery of the Americas provided the Old World with vast quantities of relatively unpopulated land well-suited for the cultivation of certain crops that were in high demand in Old World markets. Crops such as sugar, coffee, soybeans, oranges, and bananas were all introduced to the New World, and the Americas quickly became the main suppliers of these crops globally."	Other crops such as tomatoes, cacao, and chili peppers were not by themselves especially rich in calories, but complemented existing foods by increasing vitamin intake and improving taste.	The Columbian Exchange: A History of Disease, Food, and Ideas	Nathan Nunn, Nancy Qian	2010
19e4b362-fc0e-11ed-88fc-93f4be02dfa8	neigbor85.txt	How does the Ecological Footprint account for the use of fossil fuels?	How does the Ecological Footprint account for the use of fossil fuels ?	How does the Ecological Footprint account for the use of fossil fuels? Fossil fuels such as coal, oil, and natural gas are extracted from the Earth's crust rather than produced by current ecosystems. When burning this fuel, carbon dioxide is produced. In order to avoid carbon dioxide accumulation in the atmosphere, in accordance with the goal of the UN Framework Convention on Climate Change, two options exist: a) human technological sequestration, such as deep well injection; or b) natural sequestration. Natural sequestration corresponds to the biocapacity required to absorb and store the CO2 not sequestered by humans, less than the amount absorbed by the oceans. This is the Footprint for fossil fuels. Currently, negligible amounts of CO2 are sequestered through human technological processes.	How does the Ecological Footprint account for the use of fossil fuels?	ECOLOGICAL FOOTPRINT ATLAS 2010	Brad Ewing, David Moore, Steven Goldfinger, Anna Oursler, Anders Reed, Mathis Wackernagel, Nora Padula	2010
19e4b363-fc0e-11ed-88fc-93f4be02dfa8	neigbor32.txt	This migration, along with the transfer of new technologies and advanced management methods, contributes to productivity growth and higher living standards.	This migration , along with the transfer of new technologies and advanced management methods , contributes to productivity growth and higher living standards .	These criteria are not mutually exclusive. Chad and the Democratic Republic of Congo are both resource rich and conflict affected; Jordan and Armenia are formalizing and also have high youth unemployment. Still, looking through the jobs lens and focusing on the key features of the different country types can help identify more clearly the kinds of jobs 20 WO R L D D EV E LO P M E N T R E P O RT 2 0 1 3 computer and information services, legal and technical support, and other business services. India was the pioneer, but other countries--Brazil, Chile, China, and Malaysia, to name a few--have also seized the opportunity.72 The obvious winners of job migration are the workers and entrepreneurs in countries to which industries and splintered service jobs have migrated. This migration, along with the transfer of new technologies and advanced management methods, contributes to productivity growth and higher living standards. The hidden winners of job migration are consumers worldwide. The improved international division of labor increases the availability of goods and services and enhances the possibility of gaining from trade. The clear losers are those who have seen their jobs disappear because of the declining competitiveness of their industries and services. Among the losers, many skilled workers find comparable jobs without a substantial loss in salary, but oth- and expertise. Social effects are more mixed. On the positive side, migration connects people from different cultures in ways bound to widen their horizons. On the negative side, the separation from family and friends can be a source of distress and isolation. Migration may also bring racial prejudice and heighten social tensions in host countries, especially when migrants are secluded in segregated occupations or neighborhoods, preventing their integration in society.	This migration, along with the transfer of new technologies and advanced management methods, contributes to productivity growth and higher living standards.	World Development Report 2013: Jobs	World Bank	2012
19e4b364-fc0e-11ed-88fc-93f4be02dfa8	neigbor116.txt	Entrepreneurship theory and practice, 29, 205-218.	Entrepreneurship theory and practice , 29 , 205-218 .	Entrepreneurship theory and practice, 29, 205-218.	Entrepreneurship theory and practice, 29, 205-218.	Entrepreneurship in Education: What, Why, When, How	Martin Lackéus	2015
19e4b365-fc0e-11ed-88fc-93f4be02dfa8	neigbor163.txt	It prioritizes the provision of life-saving support and programmes to ensure equitable access to essential services for the most vulnerable crisis-affected women, men, boys and girls.	It prioritizes the provision of life-saving support and programmes to ensure equitable access to essential services for the most vulnerable crisis-affected women , men , boys and girls .	The 2020 Myanmar HRP focuses primarily on Kachin, Shan, Rakhine, Chin and Kayin states, which have the most urgent humanitarian needs stemming from conflict, movement restrictions and discriminatory policies or practices. It prioritizes the provision of life-saving support and programmes to ensure equitable access to essential services for the most vulnerable crisis-affected women, men, boys and girls. The plan also focuses on achieving durable solutions to internal displacement in line with international standards where feasible, and aims to build resilience and national capacity to prepare for, and respond to, disasters and other emergencies. Humanitarian partners will aim to reach 848,000 people - 10 per cent fewer than last year - with assistance. The decrease is the result of more realistic and prioritized targeting. 2020 2015 2016 requirements (US$) people in need people targeted $ 215.0 m 986 K 848 K Regional and country Overview Ukraine HRP HRP .	It prioritizes the provision of life-saving support and programmes to ensure equitable access to essential services for the most vulnerable crisis-affected women, men, boys and girls.	Global Humanitarian Overview 2020 [EN]	United Nations Office for the Coordination of Humanitarian Affairs (OCHA)	2019
19e4b366-fc0e-11ed-88fc-93f4be02dfa8	neigbor153.txt	The ecosystem approach is a broader framework for planning and developing conservation and land/water use management in an integrated manner.	The ecosystem approach is a broader framework for planning and developing conservation and land / water use management in an integrated manner .	The ecosystem approach is a broader framework for planning and developing conservation and land/water use management in an integrated manner. In this context, protected areas fit as one important tool - perhaps the most important tool - in such an approach.	The ecosystem approach is a broader framework for planning and developing conservation and land/water use management in an integrated manner.	Guidelines for Applying Protected Area Management Categories	Nigel Dudley, Sue Stolton, Peter Shadie	2013
19e4b367-fc0e-11ed-88fc-93f4be02dfa8	neigbor243.txt	Consumption is seasonal taking place during the first six months after harvest.	Consumption is seasonal taking place during the first six months after harvest .	Project UFL16P - 199 - Farm machineries. Prototypes of small-scale machinery for digging, threshing, and sorting peanut have been developed with support from Peanut CRSP. The use of these machineries was demonstrated to farmers during field days. Peanut programs. A National Peanut Program and a Peanut Seed Production Program are in place due to the support of the Peanut CRSP to Bolivia. The government has recognized ANAPO as the national reference institution for peanut research and development. It has developed a private Peanut Seed System that is patterned after its Seed Production System for soybeans, wheat, sunflower, and wheat of ANAPO. Seed, other agrochemical inputs, and technical advice are provided by ANAPO to producers at planting time and paid for during harvest at cost plus a minimal fee. Consumers' survey. A consumers' survey was carried out in 2002, which showed that the processing industry is not developed, with only 2-3 processors in Santa Cruz and Cochabamba. Peanut soup, preferred by 70% of the respondents, is generally produced in the home using traditional recipes. Other products are roasted and salted peanuts. Consumption is seasonal taking place during the first six months after harvest. The result of this survey is critical in understanding the local market potential and initiating activities in processing and utilization for domestic and export markets. Information on consumers' preferences in the target exporting countries would also be useful.	Consumption is seasonal taking place during the first six months after harvest.	The Peanut Collaborative Research Support Program (PCRSP)	Dely Gapasin, John Cherry, John Gilbert, Ron Gibbons, Geoff Hildebrand, Darrell Nelson, Howard Valentine, Handy Williamson	2005
19e4b368-fc0e-11ed-88fc-93f4be02dfa8	neigbor201.txt	After conducting supply-and demand-side analysis of the local financial sectors, to understand SME finance needs and available services, ARCo identified Purchase Order Finance (POF) as a potentially valuable instrument to tackle the main financial challenges for local producers.	After conducting supply-and demand-side analysis of the local financial sectors , to understand SME finance needs and available services , ARCo identified Purchase Order Finance ( POF ) as a potentially valuable instrument to tackle the main financial challenges for local producers .	Box 4. USAID pilot project for Purchase Order Finance in Bolivia In 2005, the USAID-funded Rural Competitiveness Activity (ARCo) initiated operation to improve licit productive activities and access to financial services in coca-growing Yungas and Chapare regions of Bolivia. After conducting supply-and demand-side analysis of the local financial sectors, to understand SME finance needs and available services, ARCo identified Purchase Order Finance (POF) as a potentially valuable instrument to tackle the main financial challenges for local producers. It selected FIE, a private financial fund and a leading microfinance institution in Bolivia, to implement the POF pilot project. The agreement with FIE included a small subsidy to start operations and technical assistance to train staff. FIE committed to use its own funds for the loan pool and issued USD 2.5 million in POF credits over two years.	After conducting supply-and demand-side analysis of the local financial sectors, to understand SME finance needs and available services, ARCo identified Purchase Order Finance (POF) as a potentially valuable instrument to tackle the main financial challenges for local producers.	New Approaches to SME and Entrepreneurship Financing: Broadening the Range of Instruments	OECD	2015
