uuid	file	sentence	tok_sentence	paragraph	trimmed_sent	title	source	year
19f37616-fc0e-11ed-88fc-93f4be02dfa8	neigbor202.txt	S16 The justice system has suffered from political and executive interference, corruption, low capacity and quality, and lack of oversight.	S16 The justice system has suffered from political and executive interference , corruption , low capacity and quality , and lack of oversight .	S16 The justice system has suffered from political and executive interference, corruption, low capacity and quality, and lack of oversight. Although the constitution explicitly provides for an impartial and independent judiciary,2 separation of the judiciary from the executive has only recently begun. ADB support has suffered from a lack of sustained political commitment, but donor support for the civil society organisation (CSO) programme and the Bangladesh Legal Aid Services Trust (BLAST) has shown some results.	S16 The justice system has suffered from political and executive interference, corruption, low capacity and quality, and lack of oversight.	Joint Evaluation of Support to Anti-Corruption Efforts Bangladesh Country Report	Charlotte Vaillant, Deborah Mansfield, Derek Poate, Imran Ahmed, Mozammel Hoque, Zarina Rahman Khan	2011
19f37617-fc0e-11ed-88fc-93f4be02dfa8	neigbor88.txt	Its key strategies include: climate-smart agriculture, water conservation, and soil fertility management, erosion control and soil management.	Its key strategies include : climate-smart agriculture , water conservation , and soil fertility management , erosion control and soil management .	Most Rwandan land is used for agriculture. As such, most FLR interventions are conducted on agricultural land or in agro-ecosystems. In its Priority Area 2, PSTA 4 emphasises an increased agricultural productivity and resilience that includes many FLR-compatible elements such as soil conservation and agroforestry. Its key strategies include: climate-smart agriculture, water conservation, and soil fertility management, erosion control and soil management.	Its key strategies include: climate-smart agriculture, water conservation, and soil fertility management, erosion control and soil management.	Second Bonn Challenge progress report: application of the Barometer in 2018.	Radhika Dave, Carole Saint-Laurent, Lara Murray, Gabriel Antunes Daldegan, Rens Brouwer, Leander Raes, Silvio Simonit, Marisete Catapan, Gerardo García Contreras, Alain Ndoli, Charles Karangwa, Naalin Perera, Swati Hingorani, Tim Pearson	2019
19f37618-fc0e-11ed-88fc-93f4be02dfa8	neigbor187.txt	The major constraints to sustainable rice production in Cote d'Ivoire are * Dominance of upland shifting cultivation * Drought stress, low soil fertility, and erosion of soil and soil fertility in upland areas, which are the dominant rice ecosystem * Blast and weed competition * Inadequate and irregular input supplies: seeds, fertilizer, and credit * Lack of well-defined rice policies: rice has been given low priority in national policy * Weak research and extension support * Poor road networks and marketing systems COTE D'IVOIRE is centrally located along the southern coast of West Africa between 3degrees and 8degrees W longitude and 5degrees and 10degrees N latitude.	The major constraints to sustainable rice production in Cote d'Ivoire are * Dominance of upland shifting cultivation * Drought stress , low soil fertility , and erosion of soil and soil fertility in upland areas , which are the dominant rice ecosystem * Blast and weed competition * Inadequate and irregular input supplies : seeds , fertilizer , and credit * Lack of well-defined rice policies : rice has been given low priority in national policy * Weak research and extension support * Poor road networks and marketing systems COTE D'IVOIRE is centrally located along the southern coast of West Africa between 3degrees and 8degrees W longitude and 5degrees and 10degrees N latitude .	The major constraints to sustainable rice production in Cote d'Ivoire are * Dominance of upland shifting cultivation * Drought stress, low soil fertility, and erosion of soil and soil fertility in upland areas, which are the dominant rice ecosystem * Blast and weed competition * Inadequate and irregular input supplies: seeds, fertilizer, and credit * Lack of well-defined rice policies: rice has been given low priority in national policy * Weak research and extension support * Poor road networks and marketing systems COTE D'IVOIRE is centrally located along the southern coast of West Africa between 3degrees and 8degrees W longitude and 5degrees and 10degrees N latitude. Its borders are formed by Ghana to the east, Burkina Faso and Mali to the north, Guinea and Liberia to the west, and the Gulf of Guinea to the south.	The major constraints to sustainable rice production in Cote d'Ivoire are * Dominance of upland shifting cultivation * Drought stress, low soil fertility, and erosion of soil and soil fertility in upland areas, which are the dominant rice ecosystem * Blast and weed competition * Inadequate and irregular input supplies: seeds, fertilizer, and credit * Lack of well-defined rice policies: rice has been given low priority in national policy * Weak research and extension support * Poor road networks and marketing systems COTE D'IVOIRE is centrally located along the southern coast of West Africa between 3degrees and 8degrees W longitude and 5degrees and 10degrees N latitude.	Rice Almanac: Source Book for the Most Important Economic Activity on Earth	J.L. Maclean, D.C. Dawe, B. Hardy, and G.P. Hettel	2002
19f37619-fc0e-11ed-88fc-93f4be02dfa8	neigbor32.txt	New York: Oxford University Press.	New York : Oxford University Press .	"2011. World report on disability. Washington, DC: WHO and World Bank. Winters, Alan, and Pedro Martins. 2004. ""When comparative advantage is not enough: business costs in small remote economies."" World Trade Review 3 (3): 347-83. World Bank. 2004a. Republic of Tunisia Development Policy Review: Making deeper trade integration work for growth and jobs. Washington, DC: World Bank. ------. 2004b. World Development Report 2005: A better investment climate for everyone. New York: Oxford University Press. ------. 2005. Afghanistan: Poverty, vulnerability and social protection: an initial assessment. Washington, DC: World Bank. ------. 2006a. At home and away: expanding job opportunities for Pacific islanders through labour mobility. Washington, DC: World Bank. ------. 2006b. World Development Report 2007: Development and the next generation. Washington, DC: World Bank. ------. 2008a. Argentina Labor market study: informal employment in Argentina: Causes and consequences. Washington, DC: World Bank. ------. 2008b. The road not travelled: education reform in the Middle East and North Africa. Washington, DC: World Bank. ------. 2009. From privilege to competition: unlocking Private-Led growth in the Middle East and North Africa. Washington, DC: World Bank."	New York: Oxford University Press.	World Development Report 2013: Jobs	World Bank	2012
19f3761a-fc0e-11ed-88fc-93f4be02dfa8	neigbor163.txt	Food insecurity is rising due to a combination of conflict, extreme weather and economic shocks.	Food insecurity is rising due to a combination of conflict , extreme weather and economic shocks .	Food insecurity is rising due to a combination of conflict, extreme weather and economic shocks. In 2019, 27.8 million people were severely food insecure in the sub-region. Preventable diseases - including acute watery diarrhoea, cholera, measles and malaria - remain endemic, and outbreaks are exacerbated by conflict and climatic shocks. Countries in the region, especially Burundi, Rwanda, South Sudan and Uganda, have been on high alert for the spread of Ebola.	Food insecurity is rising due to a combination of conflict, extreme weather and economic shocks.	Global Humanitarian Overview 2020 [EN]	United Nations Office for the Coordination of Humanitarian Affairs (OCHA)	2019
19f3761b-fc0e-11ed-88fc-93f4be02dfa8	neigbor243.txt	Dr. Nelly Bencheva has undertaken an economic analysis of peanut production in Bulgaria.	Dr. Nelly Bencheva has undertaken an economic analysis of peanut production in Bulgaria .	Dr. Nelly Bencheva has undertaken an economic analysis of peanut production in Bulgaria. The economic analysis, based on a questionnaire approach sent to farmers and through one-to-one interviews, has collected a lot of information (e.g., yields of peanut varieties being cultivated, size of cultivated areas, age distribution of farmers, etc). While some conclusions were self-evident, a more detailed analysis was going to be undertaken when new statistical tools were provided (including training) from collaboration with the U.S. Principal Investigator (Dr. Curtis Jolly). The EEP member was very impressed with the amount of information that had been rigorously collected and this economic analysis will be essential in terms of feeding into development of the Business Plan (intended to assist investors in developing an economically viable plan to commercialize peanut production). In general terms, the economic analysis showed that current peanut production was now only carried out in very small farms mainly for own consumption rather than for the market place. Production was inefficient (low yields), there was little scope for mechanization and there was a move to the use of 'own seeds or farmer saved seeds' rather than certified varieties. These changes were a result of the break-up of collective farms from Soviet times and it was difficult to see how this could be reversed as small farms were now in private ownership. It seemed very clear that if there was 'market pull' in terms of increased demand from the Bulgarian domestic market or the European Union, it could not be satisfied from domestic production using existing practices. It might be more feasible to establish Related Project AUB30S - 150 - new commercial peanut production in Bulgaria to deliver efficient and cost beneficial supply than to attempt to reverse the changes that are effectively 'fait accompli'. Peanut production in Bulgaria, as a supply route to the European Union, has the potential competitive advantage of delivering products that are aflatoxin-free compared to other parts of the world, and may be able to produce 'organic peanuts' for which there may be a niche market in the European Union and for which Bulgaria is uniquely able to deliver.	Dr. Nelly Bencheva has undertaken an economic analysis of peanut production in Bulgaria.	The Peanut Collaborative Research Support Program (PCRSP)	Dely Gapasin, John Cherry, John Gilbert, Ron Gibbons, Geoff Hildebrand, Darrell Nelson, Howard Valentine, Handy Williamson	2005
19f3761c-fc0e-11ed-88fc-93f4be02dfa8	neigbor85.txt	Journal of Industrial Ecology 10:183-198.	Journal of Industrial Ecology 10:183 -198 .	Tukker, a., P. Eder and S. Suh. 2006. Environmental impacts of products: policy relevant information and data challenges. Journal of Industrial Ecology 10:183-198.	Journal of Industrial Ecology 10:183-198.	ECOLOGICAL FOOTPRINT ATLAS 2010	Brad Ewing, David Moore, Steven Goldfinger, Anna Oursler, Anders Reed, Mathis Wackernagel, Nora Padula	2010
19f3761d-fc0e-11ed-88fc-93f4be02dfa8	neigbor150.txt	Current partners include Chetna Organic, Pratibha Syntex, CottonConnect, Action for Social Advancement, University of Gwalior, University of Akola, and the Center for Sustainable Agriculture.	Current partners include Chetna Organic , Pratibha Syntex , CottonConnect , Action for Social Advancement , University of Gwalior , University of Akola , and the Center for Sustainable Agriculture .	The overall goal of this participatory breeding project is to improve the livelihood of organic cotton growers through improved non-GM cotton cultivars with genetic diversity for adaptation to changing climate. The participatory research model of this project helps to empower female and male farmers through enhanced collaboration with researchers, breeders, seed companies, advisors, and the textile industry. Current partners include Chetna Organic, Pratibha Syntex, CottonConnect, Action for Social Advancement, University of Gwalior, University of Akola, and the Center for Sustainable Agriculture. Additional funding would enable us to engage additional farmers in other cotton growing region of India.	Current partners include Chetna Organic, Pratibha Syntex, CottonConnect, Action for Social Advancement, University of Gwalior, University of Akola, and the Center for Sustainable Agriculture.	Organic Cotton Market Report 2018	TextileExchange	2018
19f3761e-fc0e-11ed-88fc-93f4be02dfa8	neigbor164.txt	National sources of statistics on participation in education and their outcomes are: school administrative records; population and housing censuses; and, household or other sample surveys.	National sources of statistics on participation in education and their outcomes are : school administrative records ; population and housing censuses ; and , household or other sample surveys .	The World's Women 201560 Box 3.1 Gaps in gender statistics on education The primary source for cross-nationally comparable statistics on education is the UNESCO Institute for Statistics (UIS). The statistics published by the UIS are based on national data reported to the Institute and estimates made by it. National sources of statistics on participation in education and their outcomes are: school administrative records; population and housing censuses; and, household or other sample surveys.	National sources of statistics on participation in education and their outcomes are: school administrative records; population and housing censuses; and, household or other sample surveys.	The World’s Women 2015: Trends and Statistics	United Nations	2015
19f3761f-fc0e-11ed-88fc-93f4be02dfa8	neigbor84.txt	Between 1908 and 2000, crops such as tobacco and maize replaced 74% of forest cover (2.8 million ha) in eastern Tanzania (66).	Between 1908 and 2000 , crops such as tobacco and maize replaced 74 % of forest cover ( 2.8 million ha ) in eastern Tanzania ( 66 ) .	Tobacco production and greenhouse gases Indirect effects of tobacco production include greenhouse gas emissions related to deforestation and the change to agricultural land use (10). Between 1908 and 2000, crops such as tobacco and maize replaced 74% of forest cover (2.8 million ha) in eastern Tanzania (66). In Zimbabwe and other major tobacco-growing countries, notably China, a growing trend among some farmers to use coal instead of wood for curing has helped limit deforestation but does nothing to alleviate climate change problems (34). 8/ To b a c c o a n d i t s e n v i r o n m e n t a l i m p a c t : a n o v e r v i e w Overall, tobacco cultivation and curing are part of one of the most environmentally destructive agricultural practices in low-and middle-income countries (62, 67). Yet production in many of these countries has increased over time. Although tobacco growing may bring some economic benefits to farmers and local communities, these are offset by adverse environmental and economic impacts associated with loss of precious resources such as forests, plants and animal species, and ill health among farmers handling chemicals involved in the process. Due to shifts in production and land availability, this impact increasingly falls on low-and middle-income countries. Worst of all, the majority of these developments are largely irreversible.	Between 1908 and 2000, crops such as tobacco and maize replaced 74% of forest cover (2.8 million ha) in eastern Tanzania (66).	Tobacco and its environmental impact: an overview	World Health Organization	2017
