uuid	file	sentence	tok_sentence	paragraph	trimmed_sent	title	source	year
19d6fd4a-fc0e-11ed-88fc-93f4be02dfa8	neigbor27.txt	Health system actors have successfully engaged local authorities, leaders, and influencers, including women leaders, to enhance the community uptake of culturally appropriate preventive community and individual health and hygiene practices in line with national public health recommendations The rapid situation analyses uncovered a variety of methods used to communicate with communities and engage them in preparedness and response.	Health system actors have successfully engaged local authorities , leaders , and influencers , including women leaders , to enhance the community uptake of culturally appropriate preventive community and individual health and hygiene practices in line with national public health recommendations The rapid situation analyses uncovered a variety of methods used to communicate with communities and engage them in preparedness and response .	Health system actors have successfully engaged local authorities, leaders, and influencers, including women leaders, to enhance the community uptake of culturally appropriate preventive community and individual health and hygiene practices in line with national public health recommendations The rapid situation analyses uncovered a variety of methods used to communicate with communities and engage them in preparedness and response. Difficulties were also identified, including opposition to social distancing by faith groups in Pakistan, low levels of institutional trust in Kenya, and disinformation in Sierra Leone. Overall, it was found that the types of community engagement that worked well during Ebola outbreaks (such as community surveillance teams and positive engagement with community leaders) had not yet been instituted in Maintains countries in regard to COVID-19.	Health system actors have successfully engaged local authorities, leaders, and influencers, including women leaders, to enhance the community uptake of culturally appropriate preventive community and individual health and hygiene practices in line with national public health recommendations The rapid situation analyses uncovered a variety of methods used to communicate with communities and engage them in preparedness and response.	Initial COVID-19 responses in Bangladesh, Kenya, Pakistan, Sierra Leone and Uganda: Documentation and learning from March to May 2020 COVID-19 Series: Synthesis Report	Debbie Hillier, Tom Newton-Lewis, Rithika Nair, Christoph Larsen	2020
19d6fd4b-fc0e-11ed-88fc-93f4be02dfa8	neigbor119.txt	If students are young, cannot understand their expectations than it is parent's responsibility to discuss with their child about targets and objectives of learning.	If students are young , cannot understand their expectations than it is parent 's responsibility to discuss with their child about targets and objectives of learning .	If a weak learner says that he or she needs extra help, then having tuition will definitely help the child to achieve greater success. But parents cannot fully depend on the tutor to achieve results. If by having tuition, the learner should set his or her targets or objectives, then extra hours will be worth paying for. If students are young, cannot understand their expectations than it is parent's responsibility to discuss with their child about targets and objectives of learning. In this way, a student will understand why he needs a private tutor and how he can benefit fully from the extra classes.	If students are young, cannot understand their expectations than it is parent's responsibility to discuss with their child about targets and objectives of learning.	Reasons and necessity of Private tutoring in English for Bangla medium primary school students in Bangladesh	Samia Manzoor, Firdous Azim	2013
19d6fd4c-fc0e-11ed-88fc-93f4be02dfa8	neigbor32.txt	These gains may ultimately be driven by new goods, new methods of production and transportation, and new markets, but they materialize through a constant restructuring and reallocation of resources, including labor.38 Net job creation figures hide much larger processes of gross job creation and gross job destruction.	These gains may ultimately be driven by new goods , new methods of production and transportation , and new markets , but they materialize through a constant restructuring and reallocation of resources , including labor.38 Net job creation figures hide much larger processes of gross job creation and gross job destruction .	Earnings from work increase with economic development, and the benefits associated with jobs improve as well. The relationship is not mechanical, but growth is clearly good for jobs (figure 5). Admittedly, as economies become more developed, the average skills of jobholders increase, implying that observations across countries are not strictly comparable, as they do F I G U R E 5 Jobs provide higher earnings and benefits as countries grow Source: World Development Report 2013 team. Note: GDP = gross domestic product; PPP = purchasing power parity. Each dot represents a country. 80 40 0 300 3,000 30,000 co nt rib ut or s to s oc ia l s ec ur ity pr og ra m s, % o f t ot al e m pl oy m en t GDP per capita, 2005 PPP US$ b. Social security coverage 100,000 10,000 1,000 300 100 3,000 30,000 av er ag e w ag e in m an uf ac tu rin g, 20 05 P PP U S$ GDP per capita, 2005 PPP US$ a. Average wage 10 WO R L D D EV E LO P M E N T R E P O RT 2 0 1 3 are created and less productive jobs disappear. These gains may ultimately be driven by new goods, new methods of production and transportation, and new markets, but they materialize through a constant restructuring and reallocation of resources, including labor.38 Net job creation figures hide much larger processes of gross job creation and gross job destruction. On average across developing countries, between .	These gains may ultimately be driven by new goods, new methods of production and transportation, and new markets, but they materialize through a constant restructuring and reallocation of resources, including labor.38 Net job creation figures hide much larger processes of gross job creation and gross job destruction.	World Development Report 2013: Jobs	World Bank	2012
19d6fd4d-fc0e-11ed-88fc-93f4be02dfa8	neigbor226.txt	Courses lead to the titles of Perito/Bachillerato in the various streams.	Courses lead to the titles of Perito / Bachillerato in the various streams .	Country Notes Primary education lasts for six years and is free and compulsory. Secondary education covers five years divided into a ciclo comun/lower cycle or a ciclo comun pre-vocacional and an *upper cycle of two years called ciclo diversificado. In the upper cycle, pupils may specialize in literary or scientific streams. On completion, they sit for the Bachillerato. *Technical secondary education at upper cycle level lasts for three years. Various specializations are available. Courses lead to the titles of Perito/Bachillerato in the various streams. There is also a distance education system.	Courses lead to the titles of Perito/Bachillerato in the various streams.	A Guide for the Placement and Transcript Evaluation of Foreign-Born Students	Manatee County ESOL/Migrant/Immigrant Programs	2010
19d6fd4e-fc0e-11ed-88fc-93f4be02dfa8	neigbor27.txt	The formal health system has strong interdependencies with community health systems and other connected social systems, such as education, social protection, and food security.	The formal health system has strong interdependencies with community health systems and other connected social systems , such as education , social protection , and food security .	The formal health system has strong interdependencies with community health systems and other connected social systems, such as education, social protection, and food security. A shock like COVID-19 affects all of these interdependent systems: directly affecting the health system, changing needs and demand for services at the community level, and impacting on the social determinants of health.	The formal health system has strong interdependencies with community health systems and other connected social systems, such as education, social protection, and food security.	Initial COVID-19 responses in Bangladesh, Kenya, Pakistan, Sierra Leone and Uganda: Documentation and learning from March to May 2020 COVID-19 Series: Synthesis Report	Debbie Hillier, Tom Newton-Lewis, Rithika Nair, Christoph Larsen	2020
19d6fd4f-fc0e-11ed-88fc-93f4be02dfa8	neigbor21.txt	It is this state of ignorance which ensures their acceptance-and, consequently, the perpetuation of harmful traditional practices affecting their well-being and that of their children.	It is this state of ignorance which ensures their acceptance-and , consequently , the perpetuation of harmful traditional practices affecting their well-being and that of their children .	Conclusions Most women in developing countries are unaware of their basic human rights. It is this state of ignorance which ensures their acceptance-and, consequently, the perpetuation of harmful traditional practices affecting their well-being and that of their children. Even when women acquire a degree of economic and political awareness, they often feel powerless to bring about the change necessary to eliminate gender inequality. Empowering women is vital to any process of change and to the elimination of these harmful traditional practices.	It is this state of ignorance which ensures their acceptance-and, consequently, the perpetuation of harmful traditional practices affecting their well-being and that of their children.	Fact Sheet No.23, Harmful Traditional Practices Affecting the Health of Women and Children	UN Office of the High Commissioner for Human Rights (OHCHR)	1995
19d6fd50-fc0e-11ed-88fc-93f4be02dfa8	neigbor63.txt	Other 22 | OECD BUSINESS AND FINANCE OUTLOOK 2018 (c) OECD 2018 large economies and multilateral institutions will need to become involved to meet the size of the gaps illustrated in section 2.	Other 22 | OECD BUSINESS AND FINANCE OUTLOOK 2018 ( c ) OECD 2018 large economies and multilateral institutions will need to become involved to meet the size of the gaps illustrated in section 2 .	Chapter 1 of OECD, 2018a discusses in detail some of the problems building up in China's financial system. These present two issues for the BRI:  China is beginning to restrict the expansion of credit and reduce levels of indebtedness in its domestic economy, while also still having strong needs for investment in poorer regions. This is likely to mean it will run into constraints on its ability to fund more of the huge needs of BRI-participating economies. Other 22 | OECD BUSINESS AND FINANCE OUTLOOK 2018 (c) OECD 2018 large economies and multilateral institutions will need to become involved to meet the size of the gaps illustrated in section 2.  It will be important not to waste resources by financing non-economic projects.	Other 22 | OECD BUSINESS AND FINANCE OUTLOOK 2018 (c) OECD 2018 large economies and multilateral institutions will need to become involved to meet the size of the gaps illustrated in section 2.	China's Belt and Road Initiative in the Global Trade, Investment and Finance Landscape	OECD	2019
19d6fd51-fc0e-11ed-88fc-93f4be02dfa8	neigbor220.txt	The degradation of soil, water and forest resources, as well as the direct impacts of climate change (e.g.	The degradation of soil , water and forest resources , as well as the direct impacts of climate change ( e.g .	Environmental change is most likely to trigger long-term migration when it undermines the viability of ecosystemdependent livelihoods (such as rainfed agriculture, herding and fishing) and there are limited local alternatives. The degradation of soil, water and forest resources, as well as the direct impacts of climate change (e.g. shifting rainfall), are playing important roles in emergent patterns of human mobility.	The degradation of soil, water and forest resources, as well as the direct impacts of climate change (e.g.	Mapping the Effects of Climate Change on Human Migration and Displacement	Koko Warner, Charles Ehrhart, Alex de Sherbinin, Susana Adamo, Tricia Chai-Onn	2009
19d6fd52-fc0e-11ed-88fc-93f4be02dfa8	neigbor15.txt	Kerwin, D. and R. Warren 2017 National interests and common ground in the US immigration debate: How to legalize the US immigration system and permanently reduce its undocumented population.	Kerwin , D. and R. Warren 2017 National interests and common ground in the US immigration debate : How to legalize the US immigration system and permanently reduce its undocumented population .	Kerwin, D. and R. Warren 2017 National interests and common ground in the US immigration debate: How to legalize the US immigration system and permanently reduce its undocumented population. Journal on Migration and Human Security, 5(2):297-330.	Kerwin, D. and R. Warren 2017 National interests and common ground in the US immigration debate: How to legalize the US immigration system and permanently reduce its undocumented population.	WORLD MIGRATION REPORT 2020	International Organization for Migration (IOM)	2019
19d6fd53-fc0e-11ed-88fc-93f4be02dfa8	neigbor187.txt	Name: West African Rice Statistics Databank (Warsdb) Location: Warda Economics Unit Description: Data series from 1961 to 1998/1999 or 2000, depending on the indicator.	Name : West African Rice Statistics Databank ( Warsdb ) Location : Warda Economics Unit Description : Data series from 1961 to 1998/1999 or 2000 , depending on the indicator .	Contact: Ibrahim Teslim (i.teslim@cgiar.org) 33. Name: West African Rice Statistics Databank (Warsdb) Location: Warda Economics Unit Description: Data series from 1961 to 1998/1999 or 2000, depending on the indicator. The FAOSTAT database was used as the main data source to set up the WARSDB. Contact: Ali Toure A. (a.toure@cgiar.org) 34. Name: IRRIGATION SCHEMES IN COTE D'IVOIRE Location: WARDA Economics Unit Description: Contains information on the major characteristics of irrigation schemes in Cote d'Ivoire.	Name: West African Rice Statistics Databank (Warsdb) Location: Warda Economics Unit Description: Data series from 1961 to 1998/1999 or 2000, depending on the indicator.	Rice Almanac: Source Book for the Most Important Economic Activity on Earth	J.L. Maclean, D.C. Dawe, B. Hardy, and G.P. Hettel	2002
