uuid	file	sentence	tok_sentence	paragraph	trimmed_sent	title	source	year
19cda46c-fc0e-11ed-88fc-93f4be02dfa8	neigbor21.txt	Although such national legislation and international standards are vital in tackling the issue of harmful traditional practices, there is an urgent need for a parallel programme that addresses the cultural environment from which these practices emerged, in order to eliminate the various justifications used to perpetuate them.	Although such national legislation and international standards are vital in tackling the issue of harmful traditional practices , there is an urgent need for a parallel programme that addresses the cultural environment from which these practices emerged , in order to eliminate the various justifications used to perpetuate them .	Although such national legislation and international standards are vital in tackling the issue of harmful traditional practices, there is an urgent need for a parallel programme that addresses the cultural environment from which these practices emerged, in order to eliminate the various justifications used to perpetuate them. It is the duty of States to modify the social and cultural attitudes of both men and women, with a view to eradicating customary practices based on the idea of the inferiority or superiority of either sex or on stereotyped roles of gender.	Although such national legislation and international standards are vital in tackling the issue of harmful traditional practices, there is an urgent need for a parallel programme that addresses the cultural environment from which these practices emerged, in order to eliminate the various justifications used to perpetuate them.	Fact Sheet No.23, Harmful Traditional Practices Affecting the Health of Women and Children	UN Office of the High Commissioner for Human Rights (OHCHR)	1995
19cda46d-fc0e-11ed-88fc-93f4be02dfa8	neigbor139.txt	Simply put, climate is the biggest risk the world faces.	Simply put , climate is the biggest risk the world faces .	Simply put, climate is the biggest risk the world faces. What can we do to move from talk to action? This issue of Finance & Development looks at the economic and financial impact of climate policy choices. It points to concrete solutions that offer growth opportunities, driven by technological innovation, sustainable investment, and a dynamic private sector.	Simply put, climate is the biggest risk the world faces.	The Economics of Climate Change – IMF F&D | December 2019	Christine Lagarde, Felix Suntheim, Sena Oztosun, Lyndsay Walsh, Denise Marín, Ashlin Mathew, Patrick R. P. Heller, Mina Mashayekhi, José Antonio Ocampo, Melinda Weir	2019
19cda46e-fc0e-11ed-88fc-93f4be02dfa8	neigbor243.txt	Benefits to the Host Country include improved technologies, particularly new varieties and support production technologies.	Benefits to the Host Country include improved technologies , particularly new varieties and support production technologies .	Benefits to the Host Country include improved technologies, particularly new varieties and support production technologies. New cultivars, particularly with improved yield and quality, and multiple disease resistance, such as TSWV and leaf spot resistance, will be of considerable benefit. Improved production will result in increased farmer's income, especially the small-scale producers in poorer areas. Processors and consumers will benefit from better quality, nutritionally superior, and safe foods (aflatoxin-free), especially for children. Increased production will stimulate alternative uses in the domestic market or for export. Improved pest and disease resistance will reduce the use of pesticides and risk of environmental degradation and is good for the health of farmers.	Benefits to the Host Country include improved technologies, particularly new varieties and support production technologies.	The Peanut Collaborative Research Support Program (PCRSP)	Dely Gapasin, John Cherry, John Gilbert, Ron Gibbons, Geoff Hildebrand, Darrell Nelson, Howard Valentine, Handy Williamson	2005
19cda46f-fc0e-11ed-88fc-93f4be02dfa8	neigbor15.txt	BMC Health Services Research, 18:30.	BMC Health Services Research , 18:30 .	BMC Health Services Research, 18:30. Available at https://doi.org/10.1186/s12913-0182838-y.	BMC Health Services Research, 18:30.	WORLD MIGRATION REPORT 2020	International Organization for Migration (IOM)	2019
19cda470-fc0e-11ed-88fc-93f4be02dfa8	neigbor75.txt	Adequately staffed, trained and efficient labour inspection services are also important.	Adequately staffed , trained and efficient labour inspection services are also important .	"Adequately staffed, trained and efficient labour inspection services are also important. In Morocco, in 2013, the Ministry of Employment and Vocational Training organized training sessions for labour inspectors on fundamental rights, including equality and non-discrimination, in various municipalities. A ministerial circular on the implementation of legal provisions against gender discrimination at work was also adopted. It requires labour inspectors to submit data on ""labour indicators on women wage earners"" to the central administration, which specify, among other things, the number of infringements of maternity protection laws (ILO CEACR, 2014)."	Adequately staffed, trained and efficient labour inspection services are also important.	Maternity and paternity at work – Law and practice across the world	International Labour Organization	2014
19cda471-fc0e-11ed-88fc-93f4be02dfa8	neigbor243.txt	Labor saving devices (planters, diggers, shellers etc.) have been acquired and demonstrated, and training in use, repair and maintenance of equipment has been carried out.	Labor saving devices ( planters , diggers , shellers etc. ) have been acquired and demonstrated , and training in use , repair and maintenance of equipment has been carried out .	Farmers are being exposed to new technologies through field days and technical workshops. Field trials, surveys and workshops were conducted in 2002 and 2003, and trials and workshops were held in 5 villages in 2004. Advisory publications have been developed and distributed. The better farmers are being trained as trainers and are being used for training their peers. Labor saving devices (planters, diggers, shellers etc.) have been acquired and demonstrated, and training in use, repair and maintenance of equipment has been carried out. Publications: LaGra, J.: 2004 Developing the peanut industry in Guyana: Production potential and market opportunities. Peanut CRSP [Publication Type: Report] Record 2138 Rich Jr: Sustainable peanut production technology for Amerindian villages in the Rupununi region of Guyana . [publication Type: Other] Record 1921 project UFL52 - 228 - .	Labor saving devices (planters, diggers, shellers etc.) have been acquired and demonstrated, and training in use, repair and maintenance of equipment has been carried out.	The Peanut Collaborative Research Support Program (PCRSP)	Dely Gapasin, John Cherry, John Gilbert, Ron Gibbons, Geoff Hildebrand, Darrell Nelson, Howard Valentine, Handy Williamson	2005
19cda472-fc0e-11ed-88fc-93f4be02dfa8	neigbor226.txt	Country Notes Primary education lasts for five years.	Country Notes Primary education lasts for five years .	Country Notes Primary education lasts for five years. Secondary education is divided into three-year lower secondary school and three-year upper secondary school. At the end of lower secondary school, pupils sit for the Lower Secondary School Diploma and at the end of upper secondary school they sit for the Upper Secondary School Diploma. There is an entrance examination for the non-quota system.	Country Notes Primary education lasts for five years.	A Guide for the Placement and Transcript Evaluation of Foreign-Born Students	Manatee County ESOL/Migrant/Immigrant Programs	2010
19cda473-fc0e-11ed-88fc-93f4be02dfa8	neigbor79.txt	The Platform for Action must be our guide and constant point -209- of reference.	The Platform for Action must be our guide and constant point -209 - of reference .	The Platform for Action is a powerful agenda for the empowerment of women. It calls for the integration of gender perspectives in all policies and programmes. It focuses on concrete measures to address the critical areas of concern worldwide. The Platform for Action must be our guide and constant point -209- of reference. I ask that it receive wide dissemination globally, regionally and locally. The implementation of its goals, objectives and measures must be actively monitored. And it must be further strengthened, as needed, to take account of new developments as they emerge.	The Platform for Action must be our guide and constant point -209- of reference.	Report of the Fourth World Conference on Women.	United Nations	1995
19cda474-fc0e-11ed-88fc-93f4be02dfa8	neigbor30.txt	International think-tank where sustainability issues are illuminated with the aid of the Footprint.	International think-tank where sustainability issues are illuminated with the aid of the Footprint .	International think-tank where sustainability issues are illuminated with the aid of the Footprint. Www.footprintnetwork.org Earth Overshoot Day* www.footprintnetwork.org/en/index.php/GFN/ page/Earth_overshoot_day * Ewing, Brad ET al. (2008): The Ecological Footprint Atlas 2008. www.footprintnetwork.org/atlas Global, national, and regional Footprints* www.footprintnetwork.org/en/index.php/GFN/ page/world_footprint www.footprintnetwork.org/gfn_sub. php?Content=national_footprints footprint standards* Www.footprintstandards.org Glossary* www.footprintnetwork.org/en/index.php/GFN/ page/Glossary footprint calculation methodology* www.footprintnetwork.org/en/index.php/GFN/ page/methodology ecological creditors and debtors* www.footprintnetwork.org/en/index.php/GFN/ page/Ecological_debtors_and_creditors Country trends* www.footprintnetwork.org/en/index.php/GFN/ page/Trends/ (2009): September 25 2009. Earth Overshoot * Day media backgrounder.	International think-tank where sustainability issues are illuminated with the aid of the Footprint.	A big foot on small planet? accounting with the ecological footprint. Succeeding in a world with growing resource constraints	Thora Amend, Bree Barbeau, Bert Beyers, Susan Burns, Stefanie Eißing, Andrea Fleischhauer, Barbara Kus, Pati Poblete	2010
19cda475-fc0e-11ed-88fc-93f4be02dfa8	neigbor79.txt	Adoption of the agenda and other organizational matters.	Adoption of the agenda and other organizational matters .	G. Adoption of the agenda 17. At the 1st plenary meeting, on 4 September, the Conference adopted as its agenda the provisional agenda (A/CONF.177/1) recommended by the Commission on the Status of Women, acting as the preparatory body for the Conference, in annex I of its resolution 39/1. The agenda as adopted was as follows: 1. Opening of the Conference. 2. Election of the President. 3. Adoption of the rules of procedure. 4. Adoption of the agenda and other organizational matters. 5. Election of officers other than the President. 6. Organization of work, including the establishment of the Main Committee. -139- 7. Credentials of representatives to the Conference: (a) Appointment of the members of the Credentials Committee; (b) Report of the Credentials Committee. 8. General exchange of views: (a) Second review and appraisal of the implementation of the Nairobi Forward-looking Strategies for the Advancement of Women to the year 2000; (b) Main conclusions and recommendations of regional preparatory conferences; (c) National priorities and commitments. 9. Platform for action. 10. Adoption of the Declaration and the Platform for Action of the Fourth World Conference on Women. 11. Adoption of the report of the Conference.	Adoption of the agenda and other organizational matters.	Report of the Fourth World Conference on Women.	United Nations	1995
19cda476-fc0e-11ed-88fc-93f4be02dfa8	neigbor15.txt	Evidence and policy: A journal of research, debate and practice, 8(4):433-453.	Evidence and policy : A journal of research , debate and practice , 8( 4 ) :433 -453 .	2012 Perspectives of academic social scientists on knowledge transfer and research collaborations: A cross-sectional survey of Australian academics. Evidence and policy: A journal of research, debate and practice, 8(4):433-453.	Evidence and policy: A journal of research, debate and practice, 8(4):433-453.	WORLD MIGRATION REPORT 2020	International Organization for Migration (IOM)	2019
