uuid	file	sentence	tok_sentence	paragraph	trimmed_sent	title	source	year
19ee03c3-fc0e-11ed-88fc-93f4be02dfa8	neigbor153.txt	Continual intervention is needed because the ecosystem has been created or at least substantially modified by management.	Continual intervention is needed because the ecosystem has been created or at least substantially modified by management .	Distinguishing features Category IV protected areas usually help to protect, or restore: 1) flora species of international, national or local importance; 2) fauna species of international, national or local importance including resident or migratory fauna; and/or 3) habitats. The size of the area varies but can often be relatively small; this is however not a distinguishing feature. Management will differ depending on need. Protection may be sufficient to maintain particular habitats and/or species. However, as category IV protected areas often include fragments of an ecosystem, these areas may not be self-sustaining and will require regular and active management interventions to ensure the survival of specific habitats and/or to meet the requirements of particular species. A number of approaches are suitable: * Protection of particular species: to protect particular target species, which will usually be under threat (e.g., one of the last remaining populations); * Protection of habitats: to maintain or restore habitats, which will often be fragments of ecosystems; * Active management to maintain target species: to maintain viable populations of particular species, which might include for example artificial habitat creation or maintenance (such as artificial reef creation), supplementary feeding or other active management systems; * Active management of natural or semi-natural ecosystems: to maintain natural or semi-natural habitats that are either too small or too profoundly altered to be self-sustaining, e.g., if natural herbivores are absent they may need to be replaced by livestock or manual cutting; or if hydrology has been altered this may necessitate artificial drainage or irrigation; * Active management of culturally-defined ecosystems: to maintain cultural management systems where these have a unique associated biodiversity. Continual intervention is needed because the ecosystem has been created or at least substantially modified by management. The primary aim of management is maintenance of associated biodiversity.	Continual intervention is needed because the ecosystem has been created or at least substantially modified by management.	Guidelines for Applying Protected Area Management Categories	Nigel Dudley, Sue Stolton, Peter Shadie	2013
19ee03c4-fc0e-11ed-88fc-93f4be02dfa8	neigbor85.txt	European Common indicators Project Eurocities/Ambiente Italia.	European Common indicators Project Eurocities / Ambiente Italia .	Lewan, L. and C. Simmons. 2001. The use of Ecological Footprint and Biocapacity Analyses as Sustainabiilty Indicators for Sub-national Geographical Areas: a Recommended way Forward. Final report. European Common indicators Project Eurocities/Ambiente Italia.	European Common indicators Project Eurocities/Ambiente Italia.	ECOLOGICAL FOOTPRINT ATLAS 2010	Brad Ewing, David Moore, Steven Goldfinger, Anna Oursler, Anders Reed, Mathis Wackernagel, Nora Padula	2010
19ee03c5-fc0e-11ed-88fc-93f4be02dfa8	neigbor15.txt	Migration studies, 6(1):79-98.	Migration studies , 6 ( 1 ) :79 -98 .	Paerregaard, K. 2018 Capitalizing on migration: The role of strong and weak ties among Peruvian entrepreneurs in the United States, Spain and Chile. Migration studies, 6(1):79-98.	Migration studies, 6(1):79-98.	WORLD MIGRATION REPORT 2020	International Organization for Migration (IOM)	2019
19ee03c6-fc0e-11ed-88fc-93f4be02dfa8	neigbor144.txt	Operates a supermarket or grocery store in the economy's largest business city.	Operates a supermarket or grocery store in the economy 's largest business city .	Operates a supermarket or grocery store in the economy's largest business city. For 11 economies the data are also collected for the second largest business city (table 8A.1).	Operates a supermarket or grocery store in the economy's largest business city.	Doing Business 2019: Training for Reform	World Bank Group	2018
19ee03c7-fc0e-11ed-88fc-93f4be02dfa8	neigbor88.txt	Governo do Estado do Espirito Santo, Secretaria Estadual de Meio Ambiente e Recursos Hidricos.	Governo do Estado do Espirito Santo , Secretaria Estadual de Meio Ambiente e Recursos Hidricos .	Governo do Estado do Espirito Santo (Governo es) (2019). Programa Reflorestar - Prodest. Cidade Alta, Centro: Governo es. www.es.gov.br/programareflorestar. Accessed 15 May 2019. Governo do Estado do Espirito Santo, Secretaria Estadual de Meio Ambiente e Recursos Hidricos. 'Programa Estadual de Ampliacao da Cobertura Florestal' [PowerPoint]. https://seag.es.gov.br/Media/ Seag/Documentos/5.%20Reflorestar.pdf. Accessed 15 May 2019. Guidotti, v., Freitas, F.L.M., Sparovek, G., Fernando Guedes Pinto, L., Ha-mamura, C., Carvalho, T. and Cerignoni, F. (2017). 'Numeros Detalhados do Novo Codigo Florestal e suas Implicacoes para os PRAs'. Sustentabilidade em debate 5. Piracicaba, SP, Imaflora, Brazil. www.imaflora.org/downloads/ biblioteca/5925cada05b49_SUSTemDEB_low_web_ links.pdf. Accessed 16 May 2019. Imazon (2017). 'Oportunidades Para Restauracao Florestal no Estado Do Para' [website]. http://imazon.org.br/oportunidades-para-restauracaoflorestal-no-estado-do-para. Accessed 15 May 2019. Infoflr. 'Types of FLR' [website]. https://infoflr.org/ what-flr/types-flr. Accessed 15 May 2019. Isaacs Cubides, P., Marin, W., Betancur, C.A., Sierra, J., Ochoa, v., Correa, C., Aguilar, m., Gomez, m., Franco, M.C., Marin, d., Ramirez, W. and Echeverri, D. (2018). Resumen Ejecutivo. Resultados del Proceso de Evaluacion de Oportunidades de Restauracion (roam) en La Jurisdiccion de Cornare, Antioquia - Colombia. Quito, Ecuador: IUCN South America. International Institute for Sustainable Development (Iisd) (2002). Summary of the International expert Meeting on Forest Landscape Restoration 27-28 February 2002. 1st ed. Vol. 71. International Union for Conservation of Nature (IUCN) (2016). ROAM: Opportunities for restoring degraded forests and landscapes in Cote d'Ivoire. Ouagadougou, Burkina Faso. IUCN (2018a). Forest landscape restoration (FLR) stocktaking for Rwanda: period of 2011-2018. Kigali, Rwanda. IUCN (2018b). Roam: Burundi Sub-National draft. IUCN (2018c). Democratic Republic of Congo, Mangai - 2018 application of the restoration opportunities assessment methodology. IUCN in partnership with the DRC Government. Draft, unpublished. IUCN (2018d). Roam: Mozambique FLR Assessment Sub-national draft.	Governo do Estado do Espirito Santo, Secretaria Estadual de Meio Ambiente e Recursos Hidricos.	Second Bonn Challenge progress report: application of the Barometer in 2018.	Radhika Dave, Carole Saint-Laurent, Lara Murray, Gabriel Antunes Daldegan, Rens Brouwer, Leander Raes, Silvio Simonit, Marisete Catapan, Gerardo García Contreras, Alain Ndoli, Charles Karangwa, Naalin Perera, Swati Hingorani, Tim Pearson	2019
19ee03c8-fc0e-11ed-88fc-93f4be02dfa8	neigbor116.txt	University of London, Institute of Education.	University of London , Institute of Education .	Morrison Gutman, L. & Schoon, i. 2013. The impact of non-cognitive skills on outcomes for young people. University of London, Institute of Education.	University of London, Institute of Education.	Entrepreneurship in Education: What, Why, When, How	Martin Lackéus	2015
19ee03c9-fc0e-11ed-88fc-93f4be02dfa8	neigbor100.txt	There is a very strong correlation between the rural/urban parity index for learning in early grades (grade 2 or 3) and at the end of primary education (grade 6).	There is a very strong correlation between the rural / urban parity index for learning in early grades ( grade 2 or 3 ) and at the end of primary education ( grade 6 ) .	"Learning disparities begin in early grades and remain throughout primary education. There is a very strong correlation between the rural/urban parity index for learning in early grades (grade 2 or 3) and at the end of primary education (grade 6).b In other words, countries with huge disparities in early grades are rarely able to make up their lost ground later on. a. While some studies demonstrate that learning mathematics does not necessarily require reading skills, a vast majority of research findings show that reading is key to learning mathematics (G. Fite, ""Reading and Math: What Is the Connection?""; H. Korpershoek, H. Kuyper, and G. Van Der Werf, ""The relation between students' math and reading ability and their mathematics, physics, and chemistry examination grades in secondary education""). b. R2=0.87; GPE compilation based on data of the UNESCO Institute for Statistics (database), Montreal, http://www.uis.unesco.org (most recent data points available between 2005 and 2015, grade 6). comes. Across the 10 countries with PASEC data, 45 percent of the schools were underperforming with fewer than 20 percent of their students achieving minimum proficiency level, while in other schools the majority of students achieved minimum proficiency levels (see Appendix F). The degree of variance between schools differs across countries. For example, in Chad and Niger more than 80 percent of schools are underperforming, while this figure is only 1 percent in Burundi. The vast majority (88.7 percent) of the underperforming schools are located in rural areas, and a majority (53.1 percent) of the students in these underperforming schools come from the poorest 40 percent households."	There is a very strong correlation between the rural/urban parity index for learning in early grades (grade 2 or 3) and at the end of primary education (grade 6).	Results Report 2019	Global Partnership for Education	2019
19ee03ca-fc0e-11ed-88fc-93f4be02dfa8	neigbor226.txt	Secondary school education lasts for three years following upon three years of intermediate education.	Secondary school education lasts for three years following upon three years of intermediate education .	System of Education: Http://www.unesco.org/iau/onlinedatabases/systems_data/sa.rtf country notes U.S. Equivalent School year September - June Compulsory Education: Ages 6 - 12; Grades 1 - 6 grading remarks elementary education lasts for six years and leads to the general elementary education certificate. Secondary school education lasts for three years following upon three years of intermediate education. Pupils can choose between general secondary and technical schools. In the first year of general secondary school, pupils share a common curriculum. At the end of this year, they are divided into the scientific and literary tracks for the final two years.	Secondary school education lasts for three years following upon three years of intermediate education.	A Guide for the Placement and Transcript Evaluation of Foreign-Born Students	Manatee County ESOL/Migrant/Immigrant Programs	2010
19ee03cb-fc0e-11ed-88fc-93f4be02dfa8	neigbor85.txt	Library of Economics and Liberty.	Library of Economics and Liberty .	Malthus, Thomas Robert. An Essay on the Principle of Population. 1826. Library of Economics and Liberty. Retrieved November 24, 2009 from the World Wide Web: Http://www.econlib.org/library/ Malthus/malPlong.html McDonald, G.W. and M.G. Patterson. 2004. Ecological Footprint and interdependencies of New Zealand regions. Ecological economics. 50: 49-67.	Library of Economics and Liberty.	ECOLOGICAL FOOTPRINT ATLAS 2010	Brad Ewing, David Moore, Steven Goldfinger, Anna Oursler, Anders Reed, Mathis Wackernagel, Nora Padula	2010
19ee03cc-fc0e-11ed-88fc-93f4be02dfa8	neigbor15.txt	Examples: * Awareness-raising campaigns advocating for migrant inclusion and against xenophobia, including, for example, essay writing contests and dissemination on public platforms.	Examples : * Awareness-raising campaigns advocating for migrant inclusion and against xenophobia , including , for example , essay writing contests and dissemination on public platforms .	"Outreach and visibility Innovation in outreach refers to the way uptake of solutions by migrants and host communities are enhanced for greater inclusion and protection. Examples: * Awareness-raising campaigns advocating for migrant inclusion and against xenophobia, including, for example, essay writing contests and dissemination on public platforms. * Context-specific campaigns (for example, IOM's ""Aware Ramadan"" campaign on internal displacement). * Original and innovative uses of media and other platforms to communicate information both to and from migrants. 49 OECD and Eurostat, 2018. 287WORLD MIGRATION REPORT 2020 This section focuses on innovative responses that aim to better connect migrants with information, services and social networks, as these have been shown to deliver better outcomes and can be delivered without requiring government support or elaborate systems of financial assistance. There are two interventions that provide a foundation for improved communication and mobilization: (a) improvements in knowledge and data on migrants living in the contexts of crisis, and (b) the use of technology in responding to crisis."	Examples: * Awareness-raising campaigns advocating for migrant inclusion and against xenophobia, including, for example, essay writing contests and dissemination on public platforms.	WORLD MIGRATION REPORT 2020	International Organization for Migration (IOM)	2019
