uuid	file	paragraph	sentence	tokenized_sentence	marked_sentence	approx_span	trigger	marked_trigger	submitted_annotations_count	accepted_count	annotations	belief_ann_count	majority	quality_controlled	title	source	year
cffec083-fc0b-11ed-88fc-93f4be02dfa8	neigbor150.txt	Q What achievements are you most proud of, and have there been any big challenges? We have to comment about our most valued partners: the farmers. They have learnt to appreciate the knowledge that our technical team gives them and applied in their farms everything we've taught them. Having crops with better yields each year and also working with rotation crops that are beneficial for soil health and translates into more income for them. One of our biggest challenges is not having a market for cotton seed, which represents 2/3 of the cotton branch weight.	They have learnt to appreciate the knowledge that our technical team gives them and applied in their farms everything we've taught them.	They have learnt to appreciate the knowledge that our technical team gives them and applied in their farms everything we've taught them .	They have learnt to <mark>appreciate</mark> the knowledge that our technical team gives them and applied in their farms everything we've taught them.	They have learnt to appreciate	appreciate	<mark>appreciate</mark>	3	3	Belief/attitude<::>Belief/attitude<::>Belief/attitude	3	Belief/attitude	b	Organic Cotton Market Report 2018	TextileExchange	2018
cffec084-fc0b-11ed-88fc-93f4be02dfa8	neigbor30.txt	There are two central points for intervention. And both make lives better. One of the greatest opportunities to increase human wellbeing is to slow down and eventually reverse population growth. This does not require coercive measures, in fact non-coercive ones are far more effective. And even more importantly, those investments make lives better, particularly for those who live in more fragile conditions today. Above all, this is the chance to invest in women, by giving them access to schooling, but also to family planning. This helps women to be more in control of their lives, and to contribute more effectively, for instance as community leaders or entrepreneurs. In many poorer parts of Africa, girls are excluded due to immediate economic hardship, and as a result poverty persists. When women attend school, they also have better chances of finding work and shaping their own lives. Their quality of life increases, as does that of their children and all other members of their family, men and women. Also, families become smaller. As a result there is more capacity for everyone living on limited resources. In the global economy it is beneficial for a country to have a gradually shrinking population. Many people think the opposite is true. They believe that competitiveness increases with a growing population. In an ecologically scarce world this no longer holds true.	They believe that competitiveness increases with a growing population.	They believe that competitiveness increases with a growing population .	They <mark>believe</mark> that competitiveness increases with a growing population.	They believe that competitiveness increases with a growing population.	believe	<mark>believe</mark>	3	3	Belief/attitude<::>Belief/attitude<::>Belief/attitude	3	Belief/attitude	b	A big foot on small planet? accounting with the ecological footprint. Succeeding in a world with growing resource constraints	Thora Amend, Bree Barbeau, Bert Beyers, Susan Burns, Stefanie Eißing, Andrea Fleischhauer, Barbara Kus, Pati Poblete	2010
cffec085-fc0b-11ed-88fc-93f4be02dfa8	neigbor121.txt	Albania has long embarked on the public services transformaIon process and we strongly believe in changing the mindset of the ciIzens regarding this inevitable new form of communicaIon with state insItuIons. e-Albania acts as a frontend point for government insItuIons to deliver their services, thus operaIng as a one stop single access point to ciIzens .	Albania has long embarked on the public services transformaIon process and we strongly believe in changing the mindset of the ciIzens regarding this inevitable new form of communicaIon with state insItuIons.	Albania has long embarked on the public services transformaIon process and we strongly believe in changing the mindset of the ciIzens regarding this inevitable new form of communicaIon with state insItuIons .	Albania has long embarked on the public services transformaIon process and we strongly <mark>believe</mark> in changing the mindset of the ciIzens regarding this inevitable new form of communicaIon with state insItuIons.	and we strongly believe in changing the mindset of the ciIzens regarding this inevitable	believe	<mark>believe</mark>	3	3	Belief/attitude<::>Belief/attitude<::>Belief/attitude	3	Belief/attitude	b	The Coronavirus (COVID-19) Response – ICT Case Repository	WSIS Stocktaking	2020
cffec086-fc0b-11ed-88fc-93f4be02dfa8	neigbor82.txt	Despite signing the International Convention for the Protection of All Persons from Enforced Disappearance in 2008, Laos had yet to ratify the treaty. The government failed to establish the fate or whereabouts of Sombath Somphone, a prominent civil society member who was abducted in 2012 outside a police post in the capital, Vientiane. CCTV cameras captured him being stopped by police and driven away. Authorities also failed to establish the fate or whereabouts of Kha Yang, a Lao ethnic Hmong arrested after his forced return from Thailand in 2011, and of Sompawn Khantisouk, an entrepreneur who was active on conservation issues and abducted in 2007 by men believed to be police. In July, Ko Tee, a Thai political activist sought by the Thai government, disappeared in Laos. The Lao government made no apparent efforts to investigate his disappearance.	Authorities also failed to establish the fate or whereabouts of Kha Yang, a Lao ethnic Hmong arrested after his forced return from Thailand in 2011, and of Sompawn Khantisouk, an entrepreneur who was active on conservation issues and abducted in 2007 by men believed to be police.	Authorities also failed to establish the fate or whereabouts of Kha Yang , a Lao ethnic Hmong arrested after his forced return from Thailand in 2011 , and of Sompawn Khantisouk , an entrepreneur who was active on conservation issues and abducted in 2007 by men believed to be police .	Authorities also failed to establish the fate or whereabouts of Kha Yang, a Lao ethnic Hmong arrested after his forced return from Thailand in 2011, and of Sompawn Khantisouk, an entrepreneur who was active on conservation issues and abducted in 2007 by men <mark>believed</mark> to be police.	2007 by men believed to be police.	believed	<mark>believed</mark>	3	3	Belief/attitude<::>Belief/attitude<::>Belief/attitude	3	Belief/attitude	b	Amnesty International Report 2017/18: THE STATE OF THE WORLD’S HUMAN RIGHTS	Amnesty International Ltd	2018
cffec087-fc0b-11ed-88fc-93f4be02dfa8	neigbor82.txt	"Journalists, human rights defenders and others expressing dissent were beaten and arbitrarily detained. At least 20 people were arrested solely for exercising their right to freedom of expression and 20 others were subjected to police violence. In February, Radio Lynx FM reporter Mariam Kouyate was arrested by security agents as she investigated health services at the Ignace Deen Hospital in Conakry. She was questioned at a police station after refusing to hand over her press badge and recording equipment, and released the same day without charge. In May, Gangan TV journalist Aboubacar Camara was beaten by gendarmes as he filmed a land dispute in a Conakry suburb where he believed the security forces were using excessive force. The officers forced him into their car, took him to the gendarmerie and released him later the same day after deleting his recordings. In June, the High Authority of Communication suspended Espace FM radio presenter Mohamed Mara for one month on grounds that he had used ""insulting"" language during a radio debate on polygamy. In November, the Authority ordered that the radio station be taken off air for one week after the station discussed under-resourcing in the army which the authorities claimed could undermine national security and morale among the armed forces. In July, National Television suspended Alia Camara, one of their journalists, for criticizing the low pass rate in baccalaureate examinations. On 27 June, gendarmes arrested guineematin.com journalist Amadou Sadio Diallo in Lelouma for ""disturbing public order"" after he published what the authorities described as ""false news"" about a possible Amnesty International Report 2017/18 183 cholera outbreak. He was released the following day. On 30 October, four Gangan TV journalists were arrested by gendarmes in Matam,a neighbourhood of Conakry, and charged with publishing false information and offending the head of state by spreading rumours of President Conde's death. Three of them were released hours later and one was released the following day. At least 18 journalists who gathered in solidarity with the arrested journalists at the Matam gendarmerie were beaten and had their equipment broken by security forces."	In May, Gangan TV journalist Aboubacar Camara was beaten by gendarmes as he filmed a land dispute in a Conakry suburb where he believed the security forces were using excessive force.	In May , Gangan TV journalist Aboubacar Camara was beaten by gendarmes as he filmed a land dispute in a Conakry suburb where he believed the security forces were using excessive force .	In May, Gangan TV journalist Aboubacar Camara was beaten by gendarmes as he filmed a land dispute in a Conakry suburb where he <mark>believed</mark> the security forces were using excessive force.	suburb where he believed the security forces were using excessive force.	believed	<mark>believed</mark>	3	3	Belief/attitude<::>Belief/attitude<::>Belief/attitude	3	Belief/attitude	b	Amnesty International Report 2017/18: THE STATE OF THE WORLD’S HUMAN RIGHTS	Amnesty International Ltd	2018
cffec088-fc0b-11ed-88fc-93f4be02dfa8	neigbor82.txt	Two violent attacks took place in Catalonia in August, leaving 16 people dead and several others wounded. The armed group Islamic State (IS) claimed responsibility. Six people believed to be responsible were killed by security forces, and four others were arrested and prosecuted for being implicated in the attacks and as members of the group that carried out the attacks. On 1 October, the government of Catalonia, an autonomous region in the northeast, held a referendum on the region's independence, in defiance of several Constitutional Court rulings. On 17 October, the Constitutional Court declared unconstitutional the regional law on which the referendum was based and confirmed its precautionary measure which it had adopted on 7 September, aimed at preventing the referendum. On 27 October, the pro-independence political groups in the Catalonian regional parliament unilaterally declared the independence of Catalonia. On the same day, the Senate authorized the Spanish government to adopt measures pursuant to Article 155 of the Spanish Constitution, effectively suspending the region's autonomy. On 21 December, new regional elections in Catalonia took place. The party which obtained more votes than any other single party was a nonindependence party, but overall the elections delivered the majority in the regional parliament to the combined proindependence parties.	Six people believed to be responsible were killed by security forces, and four others were arrested and prosecuted for being implicated in the attacks and as members of the group that carried out the attacks.	Six people believed to be responsible were killed by security forces , and four others were arrested and prosecuted for being implicated in the attacks and as members of the group that carried out the attacks .	Six people <mark>believed</mark> to be responsible were killed by security forces, and four others were arrested and prosecuted for being implicated in the attacks and as members of the group that carried out the attacks.	Six people believed to be responsible were killed by security forces, and	believed	<mark>believed</mark>	3	3	Not belief/attitude<::>Belief/attitude<::>Belief/attitude	2	Belief/attitude	b	Amnesty International Report 2017/18: THE STATE OF THE WORLD’S HUMAN RIGHTS	Amnesty International Ltd	2018
cffec089-fc0b-11ed-88fc-93f4be02dfa8	neigbor9.txt	"Stock believes the company is better as a result of its exporting efforts. ""It challenges us. We are able to take opportunities and things we learn in one country and apply them elsewhere. So we're always learning and one of the great parts about our job is we're connecting people throughout the world and bringing ideas from one place to the other, whether or not they directly impact our product. We're a facilitator and our customers see that. And I think it's a very strong point when they get to know us is that we're connected throughout the world and bringing solutions from one corner to the next."" One concrete example is making our products easier to use. Stock said: ""In Southeast Asia, we were struggling with language barriers. We've been very ingrained in Latin America, very comfortable working with bilingual Spanish products and clients. But as we enter the Southeast Asian market we encounter the diversity of languages. Also because we're in agriculture, one of the end-users of our products may have limited education or ability to read--so our products can be technical in nature, and how do we overcome these hurdles? And so we've begun developing and incorporating visual aids, videos, icons, logos, things that will help them understand how to use the product, what it's designated for. And we're able to take that and apply it elsewhere, because it is a universal need, but it's being driven by a specific market area force at the moment."" Perhaps the biggest lesson is that exporting is a ""no-brainer."" Stock said: ""You should be exporting. If you're not, start learning about it, talk to other exporters and just go for it. I think the key things to exporting are persistence and patience. You have to realize that when you get in this, it may not be immediate sales, it may take years, but you have to have the long-term vision. If you're willing to go through a couple of ups and downs, it can pay offin dividends. If you don't enter the export market, you're limiting your sales in a big way, no doubt about it."" Chris Stock with customers in Armenia 45U.S. Commercial service * a basic guide to exporting Chapter 4 ."	Stock believes the company is better as a result of its exporting efforts.	Stock believes the company is better as a result of its exporting efforts .	Stock <mark>believes</mark> the company is better as a result of its exporting efforts.	Stock believes the company is better as a result of its exporting	believes	<mark>believes</mark>	3	3	Belief/attitude<::>Belief/attitude<::>Belief/attitude	3	Belief/attitude	b	A Basic Guide to Exporting, 11th Edition	Doug Barry	2015
cffec08a-fc0b-11ed-88fc-93f4be02dfa8	neigbor150.txt	Q where next? Sub sahara Africa is diverse and young - the average age is 18 compared with the average age in Europe of 40. So many of tomorrow's consumers and innovators will be African. I hope to see consolidation and growth of trade within the region as African consumers will need supply of textiles, and a growing number will want to move away from buying the fast fashion castoffs from the West. Similarly, brands and retailers in the West would be wise to consider new supply lines from Africa where transparency is readily available and lessons can be learned from other textile producing regions. The availability of raw material including organic cotton already exists - I hope in the medium term we will see the development and growth of a high quality supply chain.	Similarly, brands and retailers in the West would be wise to consider new supply lines from Africa where transparency is readily available and lessons can be learned from other textile producing regions.	Similarly , brands and retailers in the West would be wise to consider new supply lines from Africa where transparency is readily available and lessons can be learned from other textile producing regions .	Similarly, brands and retailers in the West would be wise to <mark>consider</mark> new supply lines from Africa where transparency is readily available and lessons can be learned from other textile producing regions.	retailers in the West would be wise to consider	consider	<mark>consider</mark>	3	3	Belief/attitude<::>Belief/attitude<::>Belief/attitude	3	Belief/attitude	n	Organic Cotton Market Report 2018	TextileExchange	2018
cffec08b-fc0b-11ed-88fc-93f4be02dfa8	neigbor32.txt	"In a semi-urban area outside Cuzco, in Peru, large numbers of women are now engaged in home-based handicrafts, sewing, and diverse agricultural activities. Outside the home, they take up farm jobs, run their own small shops or restaurants, or work for hire in these places. The women explained, however, that they consider home-based activities (such as raising livestock) to be better jobs than jobs outside the home, because ""it's peaceful work, and we can look after the kids."" Women encounter many difficulties in commuting across cities for work. In Lautoka, an urban area in Fiji, the local economy is stagnant, and women are working in much larger numbers to help their households cope. Focus group participants explained that only men ""can take up jobs in a different town . . . but not the wife because she has responsibilities at home to look after the kids and in-laws."" Source: World Bank 2011a."	"The women explained, however, that they consider home-based activities (such as raising livestock) to be better jobs than jobs outside the home, because ""it's peaceful work, and we can look after the kids."""	"The women explained , however , that they consider home-based activities ( such as raising livestock ) to be better jobs than jobs outside the home , because "" it 's peaceful work , and we can look after the kids ."	"The women explained, however, that they <mark>consider</mark> home-based activities (such as raising livestock) to be better jobs than jobs outside the home, because ""it's peaceful work, and we can look after the kids."""	they consider	consider	<mark>consider</mark>	3	3	Belief/attitude<::>Belief/attitude<::>Belief/attitude	3	Belief/attitude	b	World Development Report 2013: Jobs	World Bank	2012
cffec08c-fc0b-11ed-88fc-93f4be02dfa8	neigbor96.txt	The provision of gender-based violence services and livelihood support are especially important because in some cases these services are not considered a humanitarian priority. The Government of Bangladesh, for example, does not consider gender-based violence programming or livelihood support to be life-saving activities and thus does not fund such efforts 50 Exploring Women's Leadership in Humanitarian Action in Bangladesh and South Sudan (Vigaud-Walsh 2018, 16). The lack of such programming particularly affects women, who tend to experience gender-based violence and economic disempowerment most acutely (though it is important to recognize that all genders experience violence in the context of emergencies) (UN OCHA 2019). Women may also need extra support for livelihood opportunities in the aftermath of a disaster or in refugee camps. Women's organizations that are able to provide such services are filling a much-needed gap that responds directly to women's needs.	The Government of Bangladesh, for example, does not consider gender-based violence programming or livelihood support to be life-saving activities and thus does not fund such efforts 50 Exploring Women's Leadership in Humanitarian Action in Bangladesh and South Sudan (Vigaud-Walsh 2018, 16).	The Government of Bangladesh , for example , does not consider gender-based violence programming or livelihood support to be life-saving activities and thus does not fund such efforts 50 Exploring Women 's Leadership in Humanitarian Action in Bangladesh and South Sudan ( Vigaud-Walsh 2018 , 16 ) .	The Government of Bangladesh, for example, does not <mark>consider</mark> gender-based violence programming or livelihood support to be life-saving activities and thus does not fund such efforts 50 Exploring Women's Leadership in Humanitarian Action in Bangladesh and South Sudan (Vigaud-Walsh 2018, 16).	Government of Bangladesh, for example, does not consider	consider	<mark>consider</mark>	3	3	Belief/attitude<::>Belief/attitude<::>Belief/attitude	3	Belief/attitude	b	WOMEN LEADING LOCALLY: Exploring women’s leadership in humanitarian action in Bangladesh and South Sudan	NAMALIE JAYASINGHE, MOMOTAZ KHATUN, MOSES OKWII	2020
