uuid	file	paragraph	sentence	tokenized_sentence	marked_sentence	approx_span	trigger	marked_trigger	submitted_annotations_count	accepted_count	annotations	belief_ann_count	majority	quality_controlled	title	source	year
cffebd2c-fc0b-11ed-88fc-93f4be02dfa8	neigbor96.txt	"A report from ActionAid noted how advancing women's leadership in emergency response by increasing their access to resources led to a change in unequal power dynamics, as women's engagement in emergencies ""supports their ability to influence broader community decision making, such as disaster preparedness planning committees, to ensure that planning reflects women's priorities"" (Barclay et al. 2016, 32). A CARE International report highlighted an example from a women's organization in Sudan, where the ""work of the Women's Association in supporting self-protection strategies resulted in greater respect among religious and community leaders, providing them with the status and platform required to challenge more sensitive issues, such as GBV [gender-based violence]"" (Lindley-Jones 2018, 28). Eventually, after local leaders came to appreciate the importance of women's leadership, members of the Women's Association were able to become members of customary courts (Lindley-Jones 2018, 28)."	Eventually, after local leaders came to appreciate the importance of women's leadership, members of the Women's Association were able to become members of customary courts (Lindley-Jones 2018, 28).	Eventually , after local leaders came to appreciate the importance of women 's leadership , members of the Women 's Association were able to become members of customary courts ( Lindley-Jones 2018 , 28 ) .	Eventually, after local leaders came to <mark>appreciate</mark> the importance of women's leadership, members of the Women's Association were able to become members of customary courts (Lindley-Jones 2018, 28).	leaders came to appreciate	appreciate	<mark>appreciate</mark>	3	3	Belief/attitude<::>Belief/attitude<::>Belief/attitude	3	Belief/attitude	b	WOMEN LEADING LOCALLY: Exploring women’s leadership in humanitarian action in Bangladesh and South Sudan	NAMALIE JAYASINGHE, MOMOTAZ KHATUN, MOSES OKWII	2020
cffebd2d-fc0b-11ed-88fc-93f4be02dfa8	neigbor155.txt	Efforts to manage IAS have been hindered, and in some cases halted, on ethical grounds. Many animal rights groups oppose the eradication and control of IAS, especially large mammals (Low, 1999, Genovesi & Bertolino, 2001). Human health concerns arise over the application of certain pesticides, such as the use of DDT to control introduced species of mosquitoes in malaria-infested regions (Bright, 1998, Parker, 2001). Some scientists and environmental groups believe that potential biological control agents pose risks of invasion that may exceed those of the IAS already in place (Ouder, 1996, Strong & Pemberton, 2000). There are also instances where different sectors of society place different values on alien species. What some people see as beneficial, others might view as undesirable. Such conflicts of interest are not uncommon and are often associated with intentional introductions (Hattingh, 2001, Reaser, 2001).	Some scientists and environmental groups believe that potential biological control agents pose risks of invasion that may exceed those of the IAS already in place (Ouder, 1996, Strong & Pemberton, 2000).	Some scientists and environmental groups believe that potential biological control agents pose risks of invasion that may exceed those of the IAS already in place ( Ouder , 1996 , Strong & Pemberton , 2000 ) .	Some scientists and environmental groups <mark>believe</mark> that potential biological control agents pose risks of invasion that may exceed those of the IAS already in place (Ouder, 1996, Strong & Pemberton, 2000).	and environmental groups believe that potential biological control agents pose risks of invasion that	believe	<mark>believe</mark>	3	3	Belief/attitude<::>Belief/attitude<::>Belief/attitude	3	Belief/attitude	b	Prevention and Management of Invasive Alien Species	Ian A.W. Macdonald, Jamie K. Reaser, Chris Bright, Laurie E. Neville, Geoffrey W. Howard, Sean T. Murphy, Guy Preston	2004
cffebd2e-fc0b-11ed-88fc-93f4be02dfa8	neigbor59.txt	Approximately 21 of 30 companies interviewed in Nigeria and Pakistan said that English is crucial for company growth, as it helps them trade more widely on an international scale. In line with this, an average of 22 of 30 companies said that English was important when hiring a new employee. This underlines the fact that English language skills enhance business and trade, while also improving an individual's economic condition. Businesses in Bangladesh, Cameroon and Rwanda place a similar importance on English language skills. Approximately 22 of 30 companies in Bangladesh and Cameroon and 8 of 12 companies in Rwanda believe that English is important for company growth. Nineteen of 30 stated that English language skills are required when hiring new employees.	Approximately 22 of 30 companies in Bangladesh and Cameroon and 8 of 12 companies in Rwanda believe that English is important for company growth.	Approximately 22 of 30 companies in Bangladesh and Cameroon and 8 of 12 companies in Rwanda believe that English is important for company growth .	Approximately 22 of 30 companies in Bangladesh and Cameroon and 8 of 12 companies in Rwanda <mark>believe</mark> that English is important for company growth.	companies in Rwanda believe that English is important for company growth.	believe	<mark>believe</mark>	3	3	Belief/attitude<::>Not belief/attitude<::>Belief/attitude	2	Belief/attitude	b	The Benefits of the English Language for Individuals and Societies: Quantitative Indicators from Cameroon, Nigeria, Rwanda, Bangladesh and Pakistan	Robert Pinon, Jon Haydon	2011
cffebd2f-fc0b-11ed-88fc-93f4be02dfa8	neigbor59.txt	English language quantitative indicators ! Euromonitor International Page 8 Global changes underpin growth of English Throughout the research respondents from private companies stated that English is now the common global language of communication. Levels of English use in Nigeria and Pakistan, for example, are high. This is underpinned by strong historical and cultural relationships with the UK, and driven by a desire for linguistic unity, resulting in a competitive advantage globally. Asia is increasingly doing business in Africa, particularly China, where there is great demand for the continent's raw materials. English is used commonly among these developing countries as a means of bridging the frequently massive linguistic differences. Companies such as MTN Communications and Microsoft have found that both Nigeria and Pakistan offer a more attractive business environment than many other countries as a result of these countries' higher levels of English proficiency, among other factors. English considered important to economic growth English levels are less developed in Bangladesh, Cameroon and Rwanda. However, these countries recognise that a standard language of communication is essential for doing business. In the case of Cameroon and Rwanda, French remains a dominant presence throughout society, from education to business; however, these countries are taking active steps to improve English communication by providing more education in English, and in the case of Rwanda, by shifting the government and education system entirely from French to English. However, both governments believe that English will help increase economic growth, allowing businesses to trade with more countries. Rwandan President Paul Kagame has been promoting the virtues of doing business with Rwanda in the US, Europe and China, by specifically referring to the growing use of English. Most companies interviewed said that staff with English language skills had a strong advantage over other employees. For each of the five researched countries, around two-thirds of interviewees stated that employees with English language skills progress more quickly within the company and that English is beneficial for company growth.	However, both governments believe that English will help increase economic growth, allowing businesses to trade with more countries.	However , both governments believe that English will help increase economic growth , allowing businesses to trade with more countries .	However, both governments <mark>believe</mark> that English will help increase economic growth, allowing businesses to trade with more countries.	, both governments believe that English will help increase economic growth, allowing businesses	believe	<mark>believe</mark>	3	3	Belief/attitude<::>Belief/attitude<::>Not belief/attitude	2	Belief/attitude	b	The Benefits of the English Language for Individuals and Societies: Quantitative Indicators from Cameroon, Nigeria, Rwanda, Bangladesh and Pakistan	Robert Pinon, Jon Haydon	2011
cffebd30-fc0b-11ed-88fc-93f4be02dfa8	neigbor190.txt	Q13. In what circumstances are enhanced customers due diligence measures required? A13. a) institutions offering private banking services for high net worth individuals must ensure that enhanced due diligence policies and procedures are developed and documented. Senior management should ensure that the personal circumstances, income sources and wealth of private banking clients are known and verified as far as possible and must provide approval for such relationships; b) where accounts are transferred from another financial institution, enhanced KYC standards should be applied especially if the licensee has any reason to believe that the account holder has been refused banking facilities by the other financial institutions; c) PEPs; d) non face-to-face customers; and e) correspondent banking.	Senior management should ensure that the personal circumstances, income sources and wealth of private banking clients are known and verified as far as possible and must provide approval for such relationships; b) where accounts are transferred from another financial institution, enhanced KYC standards should be applied especially if the licensee has any reason to believe that the account holder has been refused banking facilities by the other financial institutions; c) PEPs; d) non face-to-face customers; and e) correspondent banking.	Senior management should ensure that the personal circumstances , income sources and wealth of private banking clients are known and verified as far as possible and must provide approval for such relationships ; b ) where accounts are transferred from another financial institution , enhanced KYC standards should be applied especially if the licensee has any reason to believe that the account holder has been refused banking facilities by the other financial institutions ; c ) PEPs ; d ) non face-to-face customers ; and e ) correspondent banking .	Senior management should ensure that the personal circumstances, income sources and wealth of private banking clients are known and verified as far as possible and must provide approval for such relationships; b) where accounts are transferred from another financial institution, enhanced KYC standards should be applied especially if the licensee has any reason to <mark>believe</mark> that the account holder has been refused banking facilities by the other financial institutions; c) PEPs; d) non face-to-face customers; and e) correspondent banking.	any reason to believe that the account holder has been refused banking facilities by	believe	<mark>believe</mark>	3	3	Not belief/attitude<::>Belief/attitude<::>Belief/attitude	2	Belief/attitude	n	Know Your Customer: Quick Reference Guide	PWC	2016
cffebd31-fc0b-11ed-88fc-93f4be02dfa8	neigbor5.txt	The United States remains concerned about a number of measures the EU maintains ostensibly for the purposes of food safety and protecting human, animal, or plant life or health. Specifically, the United States is concerned that these measures unnecessarily restrict trade without furthering their safety objectives because they are not based on scientific principles, maintained with sufficient scientific evidence, or applied only to the extent necessary. Moreover, the United States believes there are instances where the EU should recognize current U.S. food safety measures as equivalent to those maintained by the EU because they achieve the same level of protection. If the EU recognized the equivalence of U.S. measures, trade could be facilitated considerably.	Moreover, the United States believes there are instances where the EU should recognize current U.S. food safety measures as equivalent to those maintained by the EU because they achieve the same level of protection.	Moreover , the United States believes there are instances where the EU should recognize current U.S. food safety measures as equivalent to those maintained by the EU because they achieve the same level of protection .	Moreover, the United States <mark>believes</mark> there are instances where the EU should recognize current U.S. food safety measures as equivalent to those maintained by the EU because they achieve the same level of protection.	the United States believes there are instances where the EU should recognize current U.S.	believes	<mark>believes</mark>	3	3	Belief/attitude<::>Belief/attitude<::>Belief/attitude	3	Belief/attitude	b	The 2019 National Trade Estimate Report on Foreign Trade Barriers (NTE)	The Office of the United States Trade Representative (USTR): Samuel Gruber, Julie McNees, Nathaniel Moulton, Lida Weinstock, Robert E. Lighthizer	2019
cffebd32-fc0b-11ed-88fc-93f4be02dfa8	neigbor75.txt	Similarly, but providing a wider scope than the provision of Convention No.183, the European Union adopted Directive 97/80/EC of 15 December 1997 on the burden of proof in cases of discrimination based on sex, which was recast into Directive 2006/54/EC of 5 July 2006 on the implementation of the principle of equal opportunities and equal treatment of men and women in matters of employment and occupation. It deals with any complaints of direct or indirect discrimination based on sex and is also applicable in cases related to pregnant workers or those who have recently given birth, are breastfeeding or are on parental leave; while Article 8 of Convention No. 183 considers only the termination of employment on the grounds of maternity. The EU Directive is intended to enable all persons who consider themselves wronged because the principle of equal treatment has not been applied to have their rights asserted by judicial process after possible recourse to other competent bodies. It shall be for the respondent (the employer, in cases of dismissal) to prove that there has been no breach of the principle of equal treatment (Article 19). This reversal of the general rules of proof offers a useful means of strengthening the principle of equal treatment and ensures that the principle can be effectively enforced (EC, 2006).	The EU Directive is intended to enable all persons who consider themselves wronged because the principle of equal treatment has not been applied to have their rights asserted by judicial process after possible recourse to other competent bodies.	The EU Directive is intended to enable all persons who consider themselves wronged because the principle of equal treatment has not been applied to have their rights asserted by judicial process after possible recourse to other competent bodies .	The EU Directive is intended to enable all persons who <mark>consider</mark> themselves wronged because the principle of equal treatment has not been applied to have their rights asserted by judicial process after possible recourse to other competent bodies.	persons who consider	consider	<mark>consider</mark>	3	3	Belief/attitude<::>Belief/attitude<::>Belief/attitude	3	Belief/attitude	n	Maternity and paternity at work – Law and practice across the world	International Labour Organization	2014
cffebd33-fc0b-11ed-88fc-93f4be02dfa8	neigbor9.txt	Attitudes toward punctuality vary greatly from one culture to another, and misunderstanding those attitudes may cause confusion. Romanians, Japanese, and Germans are very punctual, whereas people in many of the Latin countries have a more relaxed attitude toward time. The Japanese consider it rude to be late for a business meeting but acceptable--even fashionable--to be late for a social occasion. In Guatemala, though, people will arrive from 10 minutes early to 45 minutes late for a luncheon appointment.	The Japanese consider it rude to be late for a business meeting but acceptable--even fashionable--to be late for a social occasion.	The Japanese consider it rude to be late for a business meeting but acceptable - - even fashionable - - to be late for a social occasion .	The Japanese <mark>consider</mark> it rude to be late for a business meeting but acceptable--even fashionable--to be late for a social occasion.	Japanese consider	consider	<mark>consider</mark>	3	3	Belief/attitude<::>Belief/attitude<::>Belief/attitude	3	Belief/attitude	b	A Basic Guide to Exporting, 11th Edition	Doug Barry	2015
cffebd34-fc0b-11ed-88fc-93f4be02dfa8	neigbor46.txt	Source: Eurostat.9 Available evidence also suggests that there is a disproportionate number of persons with disabilities who are homeless.623 Due to entrenched stigmatization and discrimination, persons with disabilities are more likely to encounter greater challenges accessing income, assets and services and are thus particularly vulnerable to being homeless. They have several barriers that prevent them from enjoying their right to adequate housing, such as lack of physical accessibility, discrimination and stigmatization, limited access to the labour market, and lack of social housing or community support.624 In particular, deinstitutionalization without the necessary community service compounded by the lack of affordable housing can leave many persons with disabilities homeless.623 Another challenge is limited security of tenure, particularly for persons with intellectual or psychosocial disabilities whose legal capacity is often neglected: they are rarely able to obtain formal housing contracts and therefore often have to rely on less formal housing contracts.625 This results in their increased vulnerability to forced evictions. In some countries, children with disabilities can be abandoned by families626 and face the risk of being homeless and exploited for the purpose of begging in the streets or elsewhere.627 In addition, gender is also important in homelessness as women with disabilities have a higher risk of violence and, when escaping violence, emergency shelters may not be accessible to them.623 In shelters, persons with disabilities, particularly those with psychosocial disabilities, are often turned away because of lack of accommodations to respond to their needs.628 Figure II.119. Percentage of persons with disabilities who (i) consider their dwelling hindering and (ii) do not use but need modifications at home, in 3 countries (MDS), around 2015.	Percentage of persons with disabilities who (i) consider their dwelling hindering and (ii) do not use but need modifications at home, in 3 countries (MDS), around 2015.	Percentage of persons with disabilities who ( i ) consider their dwelling hindering and ( ii ) do not use but need modifications at home , in 3 countries ( MDS ) , around 2015 .	Percentage of persons with disabilities who (i) <mark>consider</mark> their dwelling hindering and (ii) do not use but need modifications at home, in 3 countries (MDS), around 2015.	Percentage of persons with disabilities who (i) consider	consider	<mark>consider</mark>	3	2	Belief/attitude<::>Belief/attitude	2	Belief/attitude	n	UN Disability and Development Report – Realizing the SDGs by, for and with persons with disabilities	United Nations	2019
cffebd35-fc0b-11ed-88fc-93f4be02dfa8	neigbor243.txt	The Peanut CRSP was successful in establishing linkages with agencies interested in technology transfer and extension activities. This activity was not mandated by the program design, but this happened because the participants, especially in the host countries, were interested in development. The situation presents a dilemma for the future; if technology transfer is mandated as part of the program, then funds for these activities must be provided, or USAID must accept that there may be failures to realize the benefits and impact of the research outputs. It seems that both USAID and the Management Entity have to work harder to convince USAID missions to consider Peanut CRSP-developed technologies in their plans for agricultural development.	It seems that both USAID and the Management Entity have to work harder to convince USAID missions to consider Peanut CRSP-developed technologies in their plans for agricultural development.	It seems that both USAID and the Management Entity have to work harder to convince USAID missions to consider Peanut CRSP-developed technologies in their plans for agricultural development .	It seems that both USAID and the Management Entity have to work harder to convince USAID missions to <mark>consider</mark> Peanut CRSP-developed technologies in their plans for agricultural development.	Management Entity have to work harder to convince USAID missions to consider	consider	<mark>consider</mark>	3	3	Not belief/attitude<::>Not belief/attitude<::>Belief/attitude	1	Not belief/attitude	n	The Peanut Collaborative Research Support Program (PCRSP)	Dely Gapasin, John Cherry, John Gilbert, Ron Gibbons, Geoff Hildebrand, Darrell Nelson, Howard Valentine, Handy Williamson	2005
